date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:02:27	42076/42076	---MCZ	200	added ('OK')	text/html	etag:W/%226143c30d-a45c%22	http://templates.fabric-lab.co/archios/index.html	./thestudiovs/templates.fabric-lab.co/archios/index.html	(from )
02:02:27	141/141	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Jul%202025%2020:32:26%20GMT	http://templates.fabric-lab.co/robots.txt		(from )
02:02:29	153402/153402	---MCZ	200	added ('OK')	text/css	etag:W/%22611ab85c-2573a%22	http://templates.fabric-lab.co/archios/css/bootstrap.min.css	./thestudiovs/templates.fabric-lab.co/archios/css/bootstrap.min.css	(from http://templates.fabric-lab.co/archios/index.html)
02:02:29	59236/59236	---MCZ	200	added ('OK')	text/css	etag:W/%22611ab85f-e764%22	http://templates.fabric-lab.co/archios/css/font-awesome.min.css	./thestudiovs/templates.fabric-lab.co/archios/css/font-awesome.min.css	(from http://templates.fabric-lab.co/archios/index.html)
02:02:29	28080/28080	---MCZ	200	added ('OK')	text/css	etag:W/%22611ab85f-6db0%22	http://templates.fabric-lab.co/archios/css/line-awesome.min.css	./thestudiovs/templates.fabric-lab.co/archios/css/line-awesome.min.css	(from http://templates.fabric-lab.co/archios/index.html)
02:02:30	8052/8052	---MCZ	200	added ('OK')	text/css	etag:W/%22611ab85c-1f74%22	http://templates.fabric-lab.co/archios/css/magnific-popup.css	./thestudiovs/templates.fabric-lab.co/archios/css/magnific-popup.css	(from http://templates.fabric-lab.co/archios/index.html)
02:02:31	4744/4744	---MCZ	200	added ('OK')	text/css	etag:W/%22611ab85f-1288%22	http://templates.fabric-lab.co/archios/css/owl.carousel.css	./thestudiovs/templates.fabric-lab.co/archios/css/owl.carousel.css	(from http://templates.fabric-lab.co/archios/index.html)
02:02:32	1380/1380	---MCZ	200	added ('OK')	text/css	etag:W/%22611ab85e-564%22	http://templates.fabric-lab.co/archios/css/owl.theme.css	./thestudiovs/templates.fabric-lab.co/archios/css/owl.theme.css	(from http://templates.fabric-lab.co/archios/index.html)
02:02:33	30768/30768	---MCZ	200	added ('OK')	text/css	etag:W/%22611ab85c-7830%22	http://templates.fabric-lab.co/archios/css/jquery-ui.min.css	./thestudiovs/templates.fabric-lab.co/archios/css/jquery-ui.min.css	(from http://templates.fabric-lab.co/archios/index.html)
02:02:34	4746/4746	---MCZ	200	added ('OK')	text/css	etag:W/%22611ab85e-128a%22	http://templates.fabric-lab.co/archios/css/jquery.bxslider.css	./thestudiovs/templates.fabric-lab.co/archios/css/jquery.bxslider.css	(from http://templates.fabric-lab.co/archios/index.html)
02:02:35	4069/4069	---MCZ	200	added ('OK')	text/css	etag:W/%22611ab85d-fe5%22	http://templates.fabric-lab.co/archios/css/flexslider.css	./thestudiovs/templates.fabric-lab.co/archios/css/flexslider.css	(from http://templates.fabric-lab.co/archios/index.html)
02:02:36	30072/30072	---MCZ	200	added ('OK')	text/css	etag:W/%22611ab85e-7578%22	http://templates.fabric-lab.co/archios/css/settings.css	./thestudiovs/templates.fabric-lab.co/archios/css/settings.css	(from http://templates.fabric-lab.co/archios/index.html)
02:02:37	102119/102119	---MCZ	200	added ('OK')	text/css	etag:W/%22611ab85e-18ee7%22	http://templates.fabric-lab.co/archios/css/layers.css	./thestudiovs/templates.fabric-lab.co/archios/css/layers.css	(from http://templates.fabric-lab.co/archios/index.html)
